scenario,gamma,arm,P_release,mean_quality_z,coherence_quality_proxy,purity_proxy,negativity,diff_P_release_vs_gamma_max,diff_quality_z_vs_gamma_max,quantum_specific_observable_effect
stress,0.0,arm3_quantum_dm,0.124887429226,0.998225860437,0.042083155678,1.0,0.042083155678,0.0,0.0,FALSE
stabilizer,1.0,arm1_scalar,70.134377962659,0.922812512038,0.0,0.857540840672,0.0,0.0,0.0,FALSE
stabilizer,1.0,arm2_complex_wave,70.134377962659,0.922812512038,0.0,0.857540840672,0.0,0.0,0.0,FALSE
stabilizer,1.0,arm3_quantum_dm,70.134377962659,0.922812512038,0.0,0.857540840672,0.0,0.0,0.0,FALSE
stabilizer,0.75,arm1_scalar,70.134377962659,0.922812512038,0.0,0.857540840672,0.0,0.0,0.0,FALSE
stabilizer,0.75,arm2_complex_wave,70.134377962659,0.922812512038,0.066722175691,0.86644453813,0.0,0.0,0.0,FALSE
stabilizer,0.75,arm3_quantum_dm,70.134377962659,0.922812512038,0.066722175691,0.86644453813,0.066722175691,0.0,0.0,FALSE
stabilizer,0.5,arm1_scalar,70.134377962659,0.922812512038,0.0,0.857540840672,0.0,0.0,0.0,FALSE
stabilizer,0.5,arm2_complex_wave,70.134377962659,0.922812512038,0.133444351383,0.893155630504,0.0,0.0,0.0,FALSE
stabilizer,0.5,arm3_quantum_dm,70.134377962659,0.922812512038,0.133444351383,0.893155630504,0.133444351383,0.0,0.0,FALSE
stabilizer,0.25,arm1_scalar,70.134377962659,0.922812512038,0.0,0.857540840672,0.0,0.0,0.0,FALSE
stabilizer,0.25,arm2_complex_wave,70.134377962659,0.922812512038,0.200166527074,0.937674117794,0.0,0.0,0.0,FALSE
stabilizer,0.25,arm3_quantum_dm,70.134377962659,0.922812512038,0.200166527074,0.937674117794,0.200166527074,0.0,0.0,FALSE
stabilizer,0.0,arm1_scalar,70.134377962659,0.922812512038,0.0,0.857540840672,0.0,0.0,0.0,FALSE
stabilizer,0.0,arm2_complex_wave,70.134377962659,0.922812512038,0.266888702766,1.0,0.0,0.0,0.0,FALSE
stabilizer,0.0,arm3_quantum_dm,70.134377962659,0.922812512038,0.266888702766,1.0,0.266888702766,0.0,0.0,FALSE
leaky_membrane,1.0,arm1_scalar,81.490588430669,0.288953455248,0.0,0.589081288104,0.0,0.0,0.0,FALSE
leaky_membrane,1.0,arm2_complex_wave,81.490588430669,0.288953455248,0.0,0.589081288104,0.0,0.0,0.0,FALSE
leaky_membrane,1.0,arm3_quantum_dm,81.490588430669,0.288953455248,0.0,0.589081288104,0.0,0.0,0.0,FALSE
leaky_membrane,0.75,arm1_scalar,81.490588430669,0.288953455248,0.0,0.589081288104,0.0,0.0,0.0,FALSE
leaky_membrane,0.75,arm2_complex_wave,81.490588430669,0.288953455248,0.11331906171,0.614763707597,0.0,0.0,0.0,FALSE
leaky_membrane,0.75,arm3_quantum_dm,81.490588430669,0.288953455248,0.11331906171,0.614763707597,0.11331906171,0.0,0.0,FALSE
leaky_membrane,0.5,arm1_scalar,81.490588430669,0.288953455248,0.0,0.589081288104,0.0,0.0,0.0,FALSE
leaky_membrane,0.5,arm2_complex_wave,81.490588430669,0.288953455248,0.226638123419,0.691810966078,0.0,0.0,0.0,FALSE
leaky_membrane,0.5,arm3_quantum_dm,81.490588430669,0.288953455248,0.226638123419,0.691810966078,0.226638123419,0.0,0.0,FALSE
leaky_membrane,0.25,arm1_scalar,81.490588430669,0.288953455248,0.0,0.589081288104,0.0,0.0,0.0,FALSE
leaky_membrane,0.25,arm2_complex_wave,81.490588430669,0.288953455248,0.339957185129,0.820223063545,0.0,0.0,0.0,FALSE
leaky_membrane,0.25,arm3_quantum_dm,81.490588430669,0.288953455248,0.339957185129,0.820223063545,0.339957185129,0.0,0.0,FALSE
leaky_membrane,0.0,arm1_scalar,81.490588430669,0.288953455248,0.0,0.589081288104,0.0,0.0,0.0,FALSE
leaky_membrane,0.0,arm2_complex_wave,81.490588430669,0.288953455248,0.453276246839,1.0,0.0,0.0,0.0,FALSE
leaky_membrane,0.0,arm3_quantum_dm,81.490588430669,0.288953455248,0.453276246839,1.0,0.453276246839,0.0,0.0,FALSE
road_fed,1.0,arm1_scalar,171.679878903582,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
road_fed,1.0,arm2_complex_wave,171.679878903582,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
road_fed,1.0,arm3_quantum_dm,171.679878903582,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
road_fed,0.75,arm1_scalar,171.679878903582,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
road_fed,0.75,arm2_complex_wave,171.679878903582,0.915483381343,0.069540258047,0.854924575323,0.0,0.0,0.0,FALSE
road_fed,0.75,arm3_quantum_dm,171.679878903582,0.915483381343,0.069540258047,0.854924575323,0.069540258047,0.0,0.0,FALSE
road_fed,0.5,arm1_scalar,171.679878903582,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
road_fed,0.5,arm2_complex_wave,171.679878903582,0.915483381343,0.139080516094,0.883939660258,0.0,0.0,0.0,FALSE
road_fed,0.5,arm3_quantum_dm,171.679878903582,0.915483381343,0.139080516094,0.883939660258,0.139080516094,0.0,0.0,FALSE
road_fed,0.25,arm1_scalar,171.679878903582,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
road_fed,0.25,arm2_complex_wave,171.679878903582,0.915483381343,0.208620774141,0.932298135151,0.0,0.0,0.0,FALSE
road_fed,0.25,arm3_quantum_dm,171.679878903582,0.915483381343,0.208620774141,0.932298135151,0.208620774141,0.0,0.0,FALSE
road_fed,0.0,arm1_scalar,171.679878903582,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
road_fed,0.0,arm2_complex_wave,171.679878903582,0.915483381343,0.278161032188,1.0,0.0,0.0,0.0,FALSE
road_fed,0.0,arm3_quantum_dm,171.679878903582,0.915483381343,0.278161032188,1.0,0.278161032188,0.0,0.0,FALSE
storage_heavy,1.0,arm1_scalar,38.494871842883,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
storage_heavy,1.0,arm2_complex_wave,38.494871842883,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
storage_heavy,1.0,arm3_quantum_dm,38.494871842883,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
storage_heavy,0.75,arm1_scalar,38.494871842883,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
storage_heavy,0.75,arm2_complex_wave,38.494871842883,0.915483381343,0.069540258047,0.854924575323,0.0,0.0,0.0,FALSE
storage_heavy,0.75,arm3_quantum_dm,38.494871842883,0.915483381343,0.069540258047,0.854924575323,0.069540258047,0.0,0.0,FALSE
storage_heavy,0.5,arm1_scalar,38.494871842883,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
storage_heavy,0.5,arm2_complex_wave,38.494871842883,0.915483381343,0.139080516094,0.883939660258,0.0,0.0,0.0,FALSE
storage_heavy,0.5,arm3_quantum_dm,38.494871842883,0.915483381343,0.139080516094,0.883939660258,0.139080516094,0.0,0.0,FALSE
storage_heavy,0.25,arm1_scalar,38.494871842883,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
storage_heavy,0.25,arm2_complex_wave,38.494871842883,0.915483381343,0.208620774141,0.932298135151,0.0,0.0,0.0,FALSE
storage_heavy,0.25,arm3_quantum_dm,38.494871842883,0.915483381343,0.208620774141,0.932298135151,0.208620774141,0.0,0.0,FALSE
storage_heavy,0.0,arm1_scalar,38.494871842883,0.915483381343,0.0,0.845252880344,0.0,0.0,0.0,FALSE
storage_heavy,0.0,arm2_complex_wave,38.494871842883,0.915483381343,0.278161032188,1.0,0.0,0.0,0.0,FALSE
storage_heavy,0.0,arm3_quantum_dm,38.494871842883,0.915483381343,0.278161032188,1.0,0.278161032188,0.0,0.0,FALSE
