theta,theta_over_pi,capacity,arm,module_negativity_CR,block_S2_C,block_S2_R,product_population_out,release_probability,same_pair_population_in,marginal_diff_vs_entangled_C_fro,marginal_diff_vs_entangled_R_fro,backpressure_index,entangled_population_bonus_vs_dephased,entangled_population_bonus_vs_product,bonus_per_negativity
1.178097245096,0.375,0.1,dephased_correlated,0.0,0.415037499279,0.415037499279,0.020182747158,0.001614619773,1.0,0.0,0.0,0.957438345861,,,
1.178097245096,0.375,0.1,product_marginals,0.0,0.415037499279,0.415037499279,0.00821076956,0.000656861565,0.75,0.0,0.0,0.97691335532,,,
1.570796326795,0.5,1.0,entangled_event,0.0,0.0,0.0,0.474200252943,0.379360202354,1.0,0.0,0.0,0.0,0.0,0.0,
1.570796326795,0.5,1.0,dephased_correlated,0.0,0.0,0.0,0.474200252943,0.379360202354,1.0,0.0,0.0,0.0,,,
1.570796326795,0.5,1.0,product_marginals,0.0,0.0,0.0,0.474200252943,0.379360202354,1.0,0.0,0.0,0.0,,,
1.570796326795,0.5,0.5,entangled_event,0.0,0.0,0.0,0.178718031127,0.071487212451,1.0,0.0,0.0,0.623116963735,0.0,0.0,
1.570796326795,0.5,0.5,dephased_correlated,0.0,0.0,0.0,0.178718031127,0.071487212451,1.0,0.0,0.0,0.623116963735,,,
1.570796326795,0.5,0.5,product_marginals,0.0,0.0,0.0,0.178718031127,0.071487212451,1.0,0.0,0.0,0.623116963735,,,
1.570796326795,0.5,0.1,entangled_event,0.0,0.0,0.0,0.008706892799,0.000696551424,1.0,0.0,0.0,0.981638784997,0.0,0.0,
1.570796326795,0.5,0.1,dephased_correlated,0.0,0.0,0.0,0.008706892799,0.000696551424,1.0,0.0,0.0,0.981638784997,,,
1.570796326795,0.5,0.1,product_marginals,0.0,0.0,0.0,0.008706892799,0.000696551424,1.0,0.0,0.0,0.981638784997,,,
