component,scenario,shots,gamma,confidence_margin_S,membrane_signal_total,positive_sampled_steps,max_chsh_hat,a_pass_dev_pct,b_leak_dev_pct,d_pass_dev_pct,release_dev_pct,quality_dev_pct,matched_replay_release_diff,effect,false_positive
membrane_decision,stress_membrane,8192,1.0,0.187366586084,0.0,0,0.07275390625,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,8192,0.75,0.187366586084,0.0,0,0.7685546875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,8192,0.5,0.187366586084,0.0,0,1.45947265625,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,8192,0.25,0.187366586084,0.0,0,2.16650390625,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,8192,0.0,0.187366586084,528.929295387389,715,2.86572265625,16.692867,-15.566285,-59.504546,16.692867,0.158046,0.0,TRUE,FALSE
membrane_decision,stress_membrane,4096,1.0,0.264976160796,0.0,0,0.10302734375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,4096,0.75,0.264976160796,0.0,0,0.806640625,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,4096,0.5,0.264976160796,0.0,0,1.5126953125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,4096,0.25,0.264976160796,0.0,0,2.1875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,4096,0.0,0.264976160796,465.743302809942,712,2.8642578125,11.352929,-13.082747,-52.396122,11.352929,0.128482,0.0,TRUE,FALSE
membrane_decision,stress_membrane,2048,1.0,0.374733172169,0.0,0,0.158203125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,2048,0.75,0.374733172169,0.0,0,0.8115234375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,2048,0.5,0.374733172169,0.0,0,1.5078125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,2048,0.25,0.374733172169,0.0,0,2.1953125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,2048,0.0,0.374733172169,373.290261394904,705,2.904296875,6.348237,-9.168129,-41.995154,6.348237,0.081365,0.0,TRUE,FALSE
membrane_decision,stress_membrane,1024,1.0,0.529952321591,0.0,0,0.23828125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,1024,0.75,0.529952321591,0.0,0,0.88671875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,1024,0.5,0.529952321591,0.0,0,1.609375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,1024,0.25,0.529952321591,0.0,0,2.2890625,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,1024,0.0,0.529952321591,243.223253567369,696,2.94921875,2.491365,-4.4865,-27.362616,2.491365,0.031926,0.0,TRUE,FALSE
membrane_decision,stress_membrane,512,1.0,0.749466344338,0.0,0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,512,0.75,0.749466344338,0.0,0,1.03125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,512,0.5,0.749466344338,0.0,0,1.703125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,512,0.25,0.749466344338,0.0,0,2.4375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,stress_membrane,512,0.0,0.749466344338,63.281001606573,589,3.09375,0.156974,-0.330297,-7.119113,0.156974,0.001489,0.0,TRUE,FALSE
membrane_decision,storage_membrane,32768,1.0,0.093683293042,0.0,0,0.033935546875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,32768,0.75,0.093683293042,0.0,0,0.267150878906,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,32768,0.5,0.093683293042,0.0,0,0.497314453125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,32768,0.25,0.093683293042,0.0,0,0.738647460938,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,32768,0.0,0.093683293042,0.0,0,0.983520507812,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,8192,1.0,0.187366586084,0.0,0,0.0654296875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,8192,0.75,0.187366586084,0.0,0,0.30615234375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,8192,0.5,0.187366586084,0.0,0,0.52978515625,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,8192,0.25,0.187366586084,0.0,0,0.771484375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,8192,0.0,0.187366586084,0.0,0,1.0234375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,4096,1.0,0.264976160796,0.0,0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,4096,0.75,0.264976160796,0.0,0,0.32421875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,4096,0.5,0.264976160796,0.0,0,0.552734375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,4096,0.25,0.264976160796,0.0,0,0.796875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,4096,0.0,0.264976160796,0.0,0,1.09375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,2048,1.0,0.374733172169,0.0,0,0.126953125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,2048,0.75,0.374733172169,0.0,0,0.33203125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,2048,0.5,0.374733172169,0.0,0,0.615234375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,2048,0.25,0.374733172169,0.0,0,0.83984375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,2048,0.0,0.374733172169,0.0,0,1.11328125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,1024,1.0,0.529952321591,0.0,0,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,1024,0.75,0.529952321591,0.0,0,0.453125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,1024,0.5,0.529952321591,0.0,0,0.7421875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,1024,0.25,0.529952321591,0.0,0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,1024,0.0,0.529952321591,0.0,0,1.2109375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,512,1.0,0.749466344338,0.0,0,0.328125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,512,0.75,0.749466344338,0.0,0,0.609375,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,512,0.5,0.749466344338,0.0,0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,512,0.25,0.749466344338,0.0,0,1.078125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,storage_membrane,512,0.0,0.749466344338,0.0,0,1.3125,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,contaminated_stress_membrane,32768,1.0,0.093683293042,0.0,0,0.033508300781,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,contaminated_stress_membrane,32768,0.75,0.093683293042,0.0,0,0.74560546875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,contaminated_stress_membrane,32768,0.5,0.093683293042,0.0,0,1.444030761719,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,contaminated_stress_membrane,32768,0.25,0.093683293042,22.400681417292,666,2.146850585938,0.024129,-0.049924,-2.508079,0.024129,0.00145,0.0,TRUE,FALSE
membrane_decision,contaminated_stress_membrane,32768,0.0,0.093683293042,605.365395144194,720,2.852783203125,26.941056,-18.879063,-68.07723,26.941056,0.539136,0.0,TRUE,FALSE
membrane_decision,contaminated_stress_membrane,8192,1.0,0.187366586084,0.0,0,0.06982421875,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
membrane_decision,contaminated_stress_membrane,8192,0.75,0.187366586084,0.0,0,0.75634765625,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE
