scenario,source_A_total,A_in_total,B_in_total,permeability_A,permeability_B,selectivity,P_generated,P_release,P_overflow,release_fraction,overflow_fraction,mean_reservoir,final_reservoir,mean_fill_fraction,mean_backpressure,final_integrity,mean_integrity,mean_quality,terrain_written,efficiency_release_per_A,stability_window,release_cv,source_cv,smoothing_ratio
normal,1208.864015899506,81.186818120015,0.412715746541,0.067159595333,0.004585730517,14.645342779563,81.215750326588,81.466365833004,0.0,1.003085799299,0.0,3.743573477564,3.663453876496,0.031196445646,0.979720047829,0.774736808931,0.857048316565,0.915483381343,0.309257516293,0.067390843603,0.784613490823,0.081708532475,0.176288489223,0.463493290863
high_load,3022.160039748766,196.944442770158,0.412715746541,0.065166781434,0.004585730517,14.21077430888,197.019924394187,197.587767359703,0.0,1.002882160098,0.0,9.079628357244,8.906912767719,0.075663569644,0.950813553371,0.774736808931,0.857048316565,0.915483381343,0.751777929567,0.065379650568,0.784613490823,0.080404610172,0.176288489275,0.456096765287
stress,1208.864015899506,0.0,0.0,0.0,0.0,0.0,0.0,0.124887429226,0.0,0.0,0.0,0.005738874724,6.5e-11,4.7823956e-05,0.999967786973,0.0,0.0,0.998225860437,1.0821823e-05,0.000103309742,0.0,3.114980203698,0.176288489223,17.669787742608
stabilizer,1208.864015899506,70.385706252068,0.376529434746,0.058224668223,0.004183660386,13.917159337964,70.396084625266,70.134377962659,0.0,0.996282369041,0.0,3.222841653998,3.459845320722,0.026857013783,0.98254530367,0.737516775867,0.740718341619,0.922812512038,0.287006684624,0.058016763706,0.683544153542,0.061180091771,0.176288489223,0.347045298838
leaky_membrane,1208.864015899506,81.190112432321,11.005753241101,0.067162320463,0.045857305171,1.464593704557,81.295211062223,81.490588430669,0.0,1.002403307217,0.0,3.7446865636,3.663641169248,0.031205721363,0.97971451729,0.774736808931,0.857048316565,0.288953455248,0.099927962552,0.067410881091,0.247647072386,0.07935865809,0.176288489223,0.450163581242
road_fed,2612.306066901896,171.429578402888,0.412715746541,0.065623848819,0.004585730517,14.310445971356,171.488902458778,171.679878903582,0.0,1.001113637332,0.0,7.889099197236,7.639908628531,0.06574249331,0.957265655255,0.774736808931,0.857048316565,0.915483381343,1.297372285143,0.065719664736,0.784613490823,0.079081475406,0.17384328979,0.45490093432
storage_heavy,1208.864015899506,43.262765237751,0.412715746541,0.035787950232,0.004585730517,7.804198282066,43.28524735291,38.494871842883,0.0,0.889330065002,0.0,21.321881792975,21.990069250669,0.533047044824,0.52043729874,0.774736808931,0.857048316565,0.915483381343,0.161873684004,0.031843839618,0.784613490823,0.055580541662,0.176288489223,0.315281738428
